gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,Churn,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,Cluster,PCA1,PCA2
0,0,0,-1.2774445836787656,0,0,-1.3213496211870024,1,1,0,1,0,0,0,-1.9294968188132946,0.010156926994889563
1,0,0,0.3513699651224484,1,0,-1.3213496211870024,0,1,0,0,1,0,1,-0.7602286050294947,1.095113399128511
0,0,1,0.7992939660427822,1,0,-1.5207546382825785,0,1,0,1,0,0,1,-0.5510814940400396,1.6808259535688432
0,0,0,-1.2774445836787656,1,0,0.3735930241253952,1,1,0,0,1,0,3,-0.7090202930039048,-1.2209197760724209
1,0,0,1.4100994218432374,1,0,-0.4572612137728389,0,0,1,1,0,0,1,0.6352012070495516,1.3181031794902784
0,1,0,1.4508197855632678,1,1,0.8388713973484064,1,0,1,1,0,0,2,1.6400532485294785,0.36041407285671884
0,0,1,-0.3815965818380978,1,1,0.4068271936413246,0,0,1,1,0,0,3,-0.002657083174066613,-0.37464069723253074
1,0,1,1.6137012404433893,1,0,0.2406563460616778,0,1,0,1,0,0,2,1.265156369196914,1.0591945174213317
1,0,0,1.5322605130033284,1,1,1.3041497705714176,1,0,1,1,0,0,2,1.9719189967535193,0.20517252911930386
1,0,0,-1.2774445836787656,1,0,-1.5207546382825785,1,1,0,0,1,0,0,-2.047288369910519,0.09441791045533673
1,0,0,-1.2774445836787656,1,0,-1.4875204687666492,0,1,0,1,0,0,0,-1.9949796834171754,0.06633411675770057
1,0,1,0.0663274190822359,1,0,0.6394663802528302,0,1,0,0,0,1,3,0.44276675626333284,-0.3081640780464244
1,1,1,-0.1779947632379461,1,1,-0.4572612137728389,0,0,1,0,1,0,0,-0.4456648382446461,0.29219710142202104
0,1,0,-0.5851984004382496,1,1,0.6727005497687596,1,0,1,1,0,0,3,0.08989620732780142,-0.9474019437560538
0,0,0,-0.7073594915983407,1,0,-1.4875204687666492,0,0,1,1,0,0,0,-1.5817671003684663,0.5287100748308605
0,1,0,-0.8702409464784621,1,1,1.0050422449280532,1,0,1,0,0,1,3,0.10892192354406739,-1.3877434311504282
1,0,0,-0.8702409464784621,1,0,-0.3575587052250508,1,1,0,0,1,0,0,-0.9393767190355682,-0.4184934047118574
1,0,1,-1.2774445836787656,1,1,0.174188007029819,1,0,1,0,0,1,3,-0.8130633188914902,-0.8373037888866434
0,0,1,0.188488510242327,1,0,0.805637227832477,0,1,0,1,0,0,2,0.6617666097281351,-0.3401932064743133
1,0,1,-0.4223169455581282,1,0,0.805637227832477,1,0,1,1,0,0,3,0.2426519657721306,-0.6685007888472704
0,0,0,-1.2774445836787656,1,0,0.174188007029819,0,1,0,1,0,0,3,-0.820981068229452,-1.0895529336104028
0,0,1,-1.2774445836787656,1,0,-1.5207546382825785,0,1,0,0,1,0,0,-2.04140126020406,0.23598757023946715
1,0,1,0.5549717837226001,1,0,0.5065297021891128,0,1,0,1,0,0,2,0.7078256069463637,0.13767636831235627
0,0,0,0.758573602322752,1,1,1.4038522791192056,0,1,0,0,0,1,2,1.4720661710495653,-0.515133776946366
0,0,0,0.3513699651224484,1,0,1.3041497705714176,0,1,0,1,0,0,2,1.123156543527139,-0.7266599895758458
0,0,0,-1.1145631287986442,1,0,0.1077196679979603,1,1,0,1,0,0,3,-0.7532894632369378,-0.9302588627409284
0,0,0,0.5142514200025698,1,1,0.805637227832477,1,0,1,1,0,0,2,0.9041474688503012,-0.1809561352725595
1,0,1,-0.1372743995179157,1,0,-0.1581536881294745,0,1,0,1,0,0,3,-0.24867509412730854,0.1098684429099667
0,1,0,-0.7073594915983407,1,1,0.9053397363802652,0,1,0,0,0,1,3,0.1417692759163629,-1.286921979104087
1,0,0,1.6137012404433893,0,0,-0.0252170100657571,0,1,0,1,0,0,1,1.0196802666163944,1.1575702778851766
1,0,0,0.7178532386027215,1,1,1.3041497705714176,0,0,1,0,0,1,2,1.3837404084067269,-0.3770267605102499
